0.000000   100.000000   new 1567.099033 100.000000
3137282.404797 100.000000   new 3138190.472276 100.000000
3139678.997061 100.000000   new 3139708.829271 100.000000
3141201.355017 100.000000   new 3143467.529574 100.000000
3144965.668097 100.000000   new 3144987.617829 100.000000
3146488.028623 100.000000   new 3147061.540342 100.000000
3148566.716949 100.000000   new 3148586.781072 100.000000
3150092.157598 100.000000   new 3150945.672443 100.000000
3152452.398790 100.000000   new 3152464.435506 100.000000
3153974.759127 100.000000   new 3209768.336421 100.000000
3211279.179541 100.000000   new 3211290.683172 100.000000
3212801.540014 100.000000   new 3214940.881928 100.000000
3216457.419395 100.000000   new 3216460.873538 100.000000
3217979.779794 100.000000   new 3218931.552873 100.000000
3220450.917480 100.000000   new 3220453.631209 100.000000
3221973.277951 100.000000   new 3222977.963129 100.000000
3224503.562119 100.000000   new 3224496.739541 100.000000
3226025.920856 100.000000   new 3226779.200732 100.000000
3228308.535244 100.000000   new 3228301.459285 100.000000
3229830.895790 100.000000   new 3407969.492369 100.000000
3409499.500312 100.000000   new 3409491.848004 100.000000
3411021.860980 100.000000   new 3697781.813158 100.000000
3699312.128393 100.000000   new 3699304.172113 100.000000
3700834.488925 100.000000   new 3701592.523194 100.000000
3703123.879989 100.000000   new 3703114.191725 100.000000
3704646.237936 100.000000   new 3706736.397320 100.000000
3708268.851128 100.000000   new 3708269.231201 100.000000
3709801.684284 100.000000   new 3802896.817206 100.000000
3804429.472213 100.000000   new 3804419.169430 100.000000
3805951.830155 100.000000   new 3807958.741830 100.000000
3809490.655454 100.000000   new 3809491.525900 100.000000
3811023.488556 100.000000   new 3826726.117422 100.000000
3828257.384712 100.000000   new 3828248.453667 100.000000
3829779.742536 100.000000   new 4035086.744796 100.000000
4036624.695307 100.000000   new 4036609.053729 100.000000
4038147.055389 100.000000   new 4038897.309844 100.000000
4040436.446651 100.000000   new 4040428.802216 100.000000
4041969.279039 100.000000   new 4051834.865326 100.000000
4053374.343751 100.000000   new 4053357.403457 100.000000
4054896.704098 100.000000   new 4055431.478217 100.000000
4056971.080362 100.000000   new 4056964.363362 100.000000
4058503.913033 100.000000   new 4418125.906556 100.000000
4419667.165270 100.000000   new 4419648.265630 100.000000
4421189.525663 100.000000   new 4423345.043149 100.000000
4424894.693507 100.000000   new 4424878.233471 100.000000
4426427.526411 100.000000   new 4515812.923362 100.000000
4517362.459645 100.000000   new 4517348.829887 100.000000
4518898.370356 100.000000   new 4636756.574319 100.000000
4638305.301203 100.000000   new 4638320.218176 100.000000
4639868.939618 100.000000   new 4643098.216146 100.000000
4644646.718382 100.000000   new 4644620.378583 100.000000
4646169.078907 100.000000   new 4647201.871785 100.000000
4648751.112861 100.000000   new 4648765.689878 100.000000
4650314.750329 100.000000   new 4790092.983678 100.000000
4791641.552350 100.000000   new 4791615.337357 100.000000
4793163.912657 100.000000   new 4795253.885644 100.000000
4796801.308622 100.000000   new 4796787.103616 100.000000
4798334.141890 100.000000   new 5151217.286350 100.000000
5152763.490963 100.000000   new 5152780.933380 100.000000
5154327.128492 100.000000   new 5159968.513393 100.000000
5161523.061588 100.000000   new 5161488.862815 100.000000
5163045.421809 100.000000   new 5164444.559063 100.000000
5166000.189933 100.000000   new 5165977.312034 100.000000
5167533.023044 100.000000   new 5194058.455865 100.000000
5195616.265873 100.000000   new 5195580.289644 100.000000
5197138.623387 100.000000   new 5199291.503172 100.000000
5200851.184917 100.000000   new 5200813.311340 100.000000
5202373.543113 100.000000   new 5203515.609778 100.000000
5205083.724996 100.000000   new 5205049.106760 100.000000
5206616.558042 100.000000   new 5227926.845220 100.000000
5229494.453371 100.000000   new 5229462.879449 100.000000
5231030.366613 100.000000   new 5288170.800938 100.000000
5289737.605927 100.000000   new 5289734.436772 100.000000
5291301.243602 100.000000   new 5292265.013734 100.000000
5293830.909259 100.000000   new 5293787.177582 100.000000
5295353.269586 100.000000   new 5296206.856837 100.000000
5297771.423395 100.000000   new 5297770.744139 100.000000
5299335.060842 100.000000   new 5760728.046002 100.000000
5762291.755203 100.000000   new 5762250.407115 100.000000
5763814.112518 100.000000   new 5765889.188315 100.000000
5767451.508597 100.000000   new 5767422.484034 100.000000
5768984.340688 100.000000   new 5885252.917555 100.000000
5886814.674473 100.000000   new 5886816.562875 100.000000
5888378.311922 100.000000   new 5905335.293850 100.000000
5906896.135280 100.000000   new 5906857.615073 100.000000
5908418.492709 100.000000   new 5911350.074339 100.000000
5912911.640069 100.000000   new 5912882.883224 100.000000
5914444.472339 100.000000   new 5924080.152902 100.000000
5925641.910776 100.000000   new 5925602.398717 100.000000
5927164.270845 100.000000   new 5927855.752093 100.000000
5929419.159968 100.000000   new 5929392.973399 100.000000
5930955.073686 100.000000   new 5987143.066012 100.000000
5988705.520517 100.000000   new 5988706.728719 100.000000
5990269.157908 100.000000   new 5991237.425826 100.000000
5992798.823821 100.000000   new 5992759.563567 100.000000
5994321.181104 100.000000   new 5995179.443991 100.000000
5996739.334356 100.000000   new 5996743.364096 100.000000
5998302.971878 100.000000   new 6250385.012758 100.000000
6251944.218716 100.000000   new 6251907.370502 100.000000
