35982242936004.117188 98.514702    new 628030246299.463989 99.974076 
35982496690286.632812 98.514691    new 628181951483.498535 99.974069 
35982649226072.453125 98.514685    new 628427250117.870239 99.974059 
35982894294099.375000 98.514675    new 628579929604.251831 99.974053 
35983046829787.414062 98.514668    new 628816193154.068115 99.974043 
35983285059718.062500 98.514659    new 628968416764.619385 99.974037 
35983437287446.476562 98.514652    new 634811515748.611084 99.973796 
35989279981369.648438 98.514411    new 634963754351.244263 99.973790 
35989432209211.062500 98.514405    new 635196825004.706909 99.973780 
35989665202311.875000 98.514395    new 635349103748.600586 99.973774 
35989817430472.640625 98.514389    new 645190018850.347290 99.973367 
35999655752824.406250 98.513983    new 645342286741.158203 99.973361 
35999807980723.742188 98.513977    new 645580640062.228271 99.973351 
36000044793471.234375 98.513967    new 645733858221.296143 99.973345 
36000197021254.726562 98.513961    new 645988962217.726929 99.973334 
36000450036438.484375 98.513950    new 646142446761.187134 99.973328 
36000602264500.976562 98.513944    new 646703442107.395874 99.973305 
36001162938524.859375 98.513921    new 646855757294.152100 99.973299 
36001315166290.625000 98.513914    new 647063652317.824463 99.973290 
36001523270967.984375 98.513906    new 647215727288.918457 99.973284 
36001675498773.281250 98.513900    new 655722801002.321045 99.972933 
36010180671541.203125 98.513548    new 655875062877.408325 99.972926 
36010332899336.578125 98.513542    new 684704387902.676147 99.971736 
36039158681139.000000 98.512352    new 684856634387.263062 99.971730 
36039310909010.328125 98.512346    new 685085878669.869385 99.971721 
36039539836282.585938 98.512337    new 685238317608.853027 99.971714 
36039692064157.453125 98.512330    new 685600697903.477905 99.971699 
36040054306051.671875 98.512315    new 685753981291.665527 99.971693 
36040207581646.195312 98.512309    new 693841467325.577393 99.971359 
36048294819887.500000 98.511975    new 693993740416.017944 99.971353 
36048447047895.601562 98.511969    new 694347411771.205933 99.971338 
36048800911580.257812 98.511954    new 694500709207.597534 99.971332 
36048954186873.406250 98.511948    new 696247895891.528809 99.971260 
36050701573694.640625 98.511876    new 696400136511.473267 99.971254 
36050853801381.796875 98.511870    new 697192737158.278442 99.971221 
36051644388722.312500 98.511837    new 697345958875.433960 99.971215 
36051797663679.578125 98.511831    new 702744436152.222168 99.970992 
36057195563178.781250 98.511608    new 702896675811.835083 99.970985 
36057347790671.289062 98.511601    new 703107661333.886841 99.970977 
36057556819179.867188 98.511593    new 703261314309.517334 99.970970 
36057709047313.703125 98.511587    new 723940290384.365723 99.970117 
36078386784016.468750 98.510733    new 724092527527.120239 99.970110 
36078539011888.656250 98.510727    new 724322888110.573120 99.970101 
36078767507818.335938 98.510717    new 724476173929.750732 99.970095 
36078920782841.757812 98.510711    new 766271508890.736084 99.968369 
36120712053686.265625 98.508986    new 766423751601.775146 99.968363 
36120864281757.679688 98.508980    new 766794201174.758301 99.968348 
36121234532457.359375 98.508964    new 766947691052.432251 99.968341 
36121388115367.289062 98.508958    new 779220990485.268188 99.967835 
36133660850188.515625 98.508451    new 779377355639.385132 99.967828 
36133817205775.484375 98.508445    new 779855088066.656128 99.967809 
36134294958580.382812 98.508425    new 780007366597.993042 99.967802 
36134447186560.171875 98.508419    new 780248897744.554199 99.967792 
36134688989198.218750 98.508409    new 780405215251.696045 99.967786 
36134845344555.710938 98.508402    new 799277597724.004883 99.967007 
36153715134142.898438 98.507624    new 799429850051.532593 99.967001 
36153867362120.570312 98.507617    new 799793357423.221436 99.966986 
36154231082592.875000 98.507602    new 799946563238.375488 99.966979 
36154384357552.570312 98.507596    new 829503324819.539551 99.965759 
36183938067140.593750 98.506376    new 829659696876.259399 99.965753 
36184094422950.210938 98.506370    new 832765735114.636353 99.965625 
36187198799507.828125 98.506241    new 832918053709.445801 99.965618 
36187351027297.242188 98.506235    new 833213363082.599976 99.965606 
36187646488602.007812 98.506223    new 833366661120.187988 99.965600 
36187799764035.296875 98.506217    new 835709681924.077148 99.965503 
36190142877982.414062 98.506120    new 835861929858.271729 99.965497 
36190295106040.390625 98.506114    new 836087660991.390747 99.965487 
36190520583095.906250 98.506104    new 836241046912.585938 99.965481 
36190674166341.148438 98.506098    new 842113931870.760254 99.965239 
36196546737164.312500 98.505856    new 842270293445.661255 99.965232 
36196703092475.679688 98.505849    new 842523101051.278931 99.965222 
36196956046031.468750 98.505839    new 842675371779.778442 99.965216 
36197108273715.656250 98.505832    new 842916920962.583252 99.965206 
36197350076141.156250 98.505822    new 843073241410.792603 99.965199 
36197506431658.562500 98.505816    new 858063924044.367065 99.964580 
36212494685956.460938 98.505197    new 858216179063.282593 99.964574 
36212646913824.335938 98.505191    new 858588424240.363647 99.964559 
36213017411031.609375 98.505176    new 858741634324.875000 99.964552 
36213170686201.062500 98.505169    new 901997010279.469604 99.962767 
36256423668585.703125 98.503384    new 902153374379.041504 99.962760 
36256580024140.015625 98.503377    new 904931363026.652100 99.962646 
36259356411726.906250 98.503263    new 905083681984.925903 99.962639 
36259508639420.023438 98.503257    new 905587468403.404297 99.962619 
36260010665032.335938 98.503236    new 905741049513.223022 99.962612 
36260164248195.515625 98.503229    new 911680591192.627197 99.962367 
36266103783816.640625 98.502984    new 911836955534.522217 99.962361 
36266260139336.265625 98.502978    new 912089775097.959839 99.962350 
36266513092333.898438 98.502967    new 912242043228.073853 99.962344 
36266665320364.351562 98.502961    new 912483612432.629639 99.962334 
36266907123044.593750 98.502951    new 912639936145.671875 99.962327 
36267063478235.664062 98.502945    new 917229090507.283936 99.962138 
36271652368996.992188 98.502755    new 917381328603.962646 99.962132 
36271804596731.578125 98.502749    new 917744864279.373535 99.962117 
36272168317217.992188 98.502734    new 917898079542.380981 99.962110 
36272321592331.382812 98.502728    new 958557910743.133667 99.960432 
36312979243501.562500 98.501049    new 958714274841.442261 99.960426 
36313135599312.984375 98.501043    new 961124460229.740356 99.960326 
36315545739788.351562 98.500943    new 961276785562.490479 99.960320 
36315697967748.335938 98.500937    new 961752837449.137695 99.960300 
36316173933579.617188 98.500917    new 961906383965.408813 99.960294 
36316327517074.648438 98.500911    new 967826150321.836548 99.960049 
36322245674843.304688 98.500667    new 967982547327.078491 99.960043 
36322402030626.507812 98.500660    new 968235376541.352051 99.960033 
36322654983578.554688 98.500650    new 968387642574.378906 99.960026 
36322807211387.250000 98.500644    new 968629227937.953247 99.960016 
36323049014349.804688 98.500634    new 968785554285.954590 99.960010 
36323205369564.820312 98.500627    new 982188214040.885864 99.959457 
36336607272634.460938 98.500074    new 982340451475.163696 99.959450 
36336759500385.070312 98.500068    new 982712460941.190796 99.959435 
36337129997572.390625 98.500052    new 982865681028.009766 99.959429 
36337283272705.937500 98.500046    new 1014250002879.306030 99.958133 
36368665987630.132812 98.498751    new 1014406367007.130371 99.958127 
36368822342887.312500 98.498744    new 1016812593517.505615 99.958027 
36371228417686.156250 98.498645    new 1016964921407.374390 99.958021 
36371380645859.664062 98.498639    new 1017436970853.527832 99.958002 
36371852607409.273438 98.498619    new 1017590514145.883911 99.957995 
36372006190445.828125 98.498613    new 1023193674491.624756 99.957764 
36377609049397.890625 98.498382    new 1023350038252.340454 99.957757 
36377765405147.335938 98.498375    new 1023602876983.706665 99.957747 
36378018358108.984375 98.498365    new 1023755140948.708130 99.957741 
36378170585838.281250 98.498358    new 1023996742247.365845 99.957731 
36378412388751.117188 98.498348    new 1024153071193.810425 99.957724 
36378568744298.359375 98.498342    new 1061872686546.926392 99.956167 
36416286315634.882812 98.496785    new 1062024928358.612061 99.956161 
36416438543269.656250 98.496779    new 1062388498742.711670 99.956146 
36416802264140.460938 98.496764    new 1062541725591.566284 99.956140 
36416955539066.796875 98.496757    new 1094911403253.708862 99.954804 
36449322340755.156250 98.495421    new 1095063645692.601318 99.954797 
36449474568633.046875 98.495415    new 1095375757974.013916 99.954784 
36449786601622.523438 98.495402    new 1095529141725.036255 99.954778 
36449939877093.867188 98.495396    new 1102831987570.541504 99.954477 
36457242006854.539062 98.495094    new 1102984248866.757080 99.954470 
36457394234852.578125 98.495088    new 1103288323583.831055 99.954458 
36457698197686.273438 98.495076    new 1103441618210.113281 99.954451 
36457851472500.281250 98.495069    new 1112718577907.555176 99.954068 
36467127696964.578125 98.494686    new 1112874942526.080078 99.954062 
36467284052414.539062 98.494680    new 1115407595902.660889 99.953957 
36469815556154.046875 98.494575    new 1115559904256.733643 99.953951 
36469967783901.882812 98.494569    new 1116066037295.254395 99.953930 
36470473813544.773438 98.494548    new 1116219592969.334473 99.953924 
36470627397009.468750 98.494542    new 1122295698077.469482 99.953673 
36476703264194.148438 98.494291    new 1122452086535.922852 99.953667 
36476859619418.140625 98.494285    new 1122704942301.898682 99.953656 
36477112572862.515625 98.494274    new 1122857202565.349121 99.953650 
36477264800853.398438 98.494268    new 1123098832386.154785 99.953640 
36477506603124.328125 98.494258    new 1123255165983.543457 99.953634 
36477662958617.359375 98.494251    new 1128082715915.268066 99.953434 
36482489152934.656250 98.494052    new 1128234991665.104736 99.953428 
36482641380831.781250 98.494046    new 1128606724078.609131 99.953413 
36483011877906.218750 98.494031    new 1128759955922.044922 99.953406 
36483165152853.000000 98.494024    new 1174394061925.440186 99.951523 
36528796469998.898438 98.492141    new 1174550425946.390625 99.951516 
36528952825436.671875 98.492134    new 1176958241750.906006 99.951417 
36531359515641.664062 98.492035    new 1177110550240.663574 99.951410 
36531511743104.914062 98.492029    new 1177582586395.133545 99.951391 
36531983704736.617188 98.492009    new 1177736139956.954834 99.951385 
36532137287963.375000 98.492003    new 1184379381720.909424 99.951110 
36538780112244.476562 98.491729    new 1184535745238.710205 99.951104 
36538936467942.218750 98.491722    new 1184788611676.236328 99.951094 
36539189420843.406250 98.491712    new 1184940869620.802490 99.951087 
36539341648779.429688 98.491705    new 1185182517309.674805 99.951077 
36539583451327.671875 98.491695    new 1185338853820.707275 99.951071 
36539739806806.804688 98.491689    new 1213623082889.403076 99.949903 
36568022511319.078125 98.490521    new 1213775319453.005127 99.949897 
36568174739014.343750 98.490515    new 1214140818591.701172 99.949882 
36568539198628.664062 98.490500    new 1214293480408.769775 99.949876 
36568691426363.257812 98.490494    new 1214722698839.400146 99.949858 
36569119647737.507812 98.490476    new 1214876054091.015869 99.949852 
36569272923117.929688 98.490470    new 1253315075174.026855 99.948265 
36607709792555.546875 98.488883    new 1253471750802.369385 99.948258 
36607866455910.484375 98.488877    new 1278948627861.412842 99.947207 
36633341784515.695312 98.487825    new 1279100864457.147705 99.947200 
36633494012165.828125 98.487819    new 1279472310377.598633 99.947185 
36633864508886.703125 98.487804    new 1279625554378.256592 99.947179 
36634017783985.656250 98.487797    new 1328905735022.467285 99.945145 
36683295287670.125000 98.485763    new 1329057973896.430420 99.945138 
36683447515633.695312 98.485757    new 1330427236900.401611 99.945082 
36684815901850.890625 98.485700    new 1330580511976.203613 99.945075 
36684969176987.320312 98.485694    new 1337868652053.050537 99.944775 
