ACT_Int 0.510000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.536625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 61.500625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 13.827000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.120500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.438125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.478125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 20.064625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.763375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.771625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.798000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 41.503750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.988750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 55.349500 current 259.291567,  charge =     0, alpha = 2422560000000000
