interval 0.020162   current 14668.827097   old_charge 354929752   old_soc 99.999985   new_charge 5304497   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 354935962   old_soc 99.999985   new_charge 5305999   new_soc 100.000000
interval 0.016600   current 14668.827097   old_charge 354937458   old_soc 99.999985   new_charge 5311111   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 354942571   old_soc 99.999985   new_charge 5312613   new_soc 100.000000
interval 0.263702   current 14668.827097   old_charge 354944067   old_soc 99.999985   new_charge 5393846   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 355025295   old_soc 99.999985   new_charge 5395348   new_soc 100.000000
interval 0.017576   current 14668.827097   old_charge 355026791   old_soc 99.999985   new_charge 5400767   new_soc 100.000000
interval 0.004866   current 14668.827097   old_charge 355032205   old_soc 99.999985   new_charge 5402261   new_soc 100.000000
interval 0.007662   current 14668.827097   old_charge 355033703   old_soc 99.999985   new_charge 5404606   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 355036064   old_soc 99.999985   new_charge 5406108   new_soc 100.000000
interval 4.158354   current 14668.827097   old_charge 355037559   old_soc 99.999985   new_charge 6687072   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 356318454   old_soc 99.999985   new_charge 6688574   new_soc 100.000000
interval 0.167490   current 14668.827097   old_charge 356319950   old_soc 99.999985   new_charge 6740169   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 356371541   old_soc 99.999985   new_charge 6741671   new_soc 100.000000
interval 0.018024   current 14668.827097   old_charge 356373037   old_soc 99.999985   new_charge 6747224   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 356378589   old_soc 99.999985   new_charge 6748725   new_soc 100.000000
interval 0.006604   current 14668.827097   old_charge 356380085   old_soc 99.999985   new_charge 6750775   new_soc 100.000000
interval 0.004866   current 14668.827097   old_charge 356382119   old_soc 99.999985   new_charge 6752270   new_soc 100.000000
interval 0.007822   current 14668.827097   old_charge 356383618   old_soc 99.999985   new_charge 6754672   new_soc 100.000000
interval 0.004856   current 14668.827097   old_charge 356386027   old_soc 99.999985   new_charge 6756173   new_soc 100.000000
interval 1.481872   current 14668.827097   old_charge 356387523   old_soc 99.999985   new_charge 7212658   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356843983   old_soc 99.999985   new_charge 7214159   new_soc 100.000000
interval 0.008238   current 14668.827097   old_charge 356845505   old_soc 99.999985   new_charge 7216704   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356848043   old_soc 99.999985   new_charge 7218205   new_soc 100.000000
interval 0.008398   current 14668.827097   old_charge 356849565   old_soc 99.999985   new_charge 7220805   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356852152   old_soc 99.999985   new_charge 7222306   new_soc 100.000000
interval 0.035094   current 14668.827097   old_charge 356853674   old_soc 99.999985   new_charge 7233117   new_soc 100.000000
interval 0.004952   current 14668.827097   old_charge 356864484   old_soc 99.999985   new_charge 7234641   new_soc 100.000000
interval 0.007780   current 14668.827097   old_charge 356866009   old_soc 99.999985   new_charge 7237024   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356868406   old_soc 99.999985   new_charge 7238525   new_soc 100.000000
interval 0.012220   current 14668.827097   old_charge 356869928   old_soc 99.999985   new_charge 7242282   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 356873692   old_soc 99.999985   new_charge 7243783   new_soc 100.000000
interval 0.006748   current 14668.827097   old_charge 356875215   old_soc 99.999985   new_charge 7245850   new_soc 100.000000
interval 0.004952   current 14668.827097   old_charge 356877293   old_soc 99.999985   new_charge 7247374   new_soc 100.000000
