interval 0.004942   current 14668.827097   old_charge 423751901   old_soc 99.999983   new_charge 74767608   new_soc 99.999997
interval 0.120312   current 14668.827097   old_charge 423753423   old_soc 99.999983   new_charge 74804669   new_soc 99.999997
interval 200.892347   current 24.990176   old_charge 423790482   old_soc 99.999983   new_charge 74909571   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 423892037   old_soc 99.999983   new_charge 74911213   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 423893559   old_soc 99.999983   new_charge 74914857   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 423897154   old_soc 99.999983   new_charge 74916499   new_soc 99.999997
interval 0.117698   current 14668.827097   old_charge 423898676   old_soc 99.999983   new_charge 74952756   new_soc 99.999997
interval 198.834037   current 24.990176   old_charge 423934930   old_soc 99.999983   new_charge 75056582   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424035443   old_soc 99.999982   new_charge 75058225   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 424036965   old_soc 99.999982   new_charge 75061890   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424040627   old_soc 99.999982   new_charge 75063532   new_soc 99.999997
interval 0.118042   current 14668.827097   old_charge 424042149   old_soc 99.999982   new_charge 75099895   new_soc 99.999997
interval 201.239217   current 24.990176   old_charge 424078509   old_soc 99.999982   new_charge 75204975   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424180237   old_soc 99.999982   new_charge 75206618   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 424181759   old_soc 99.999982   new_charge 75210262   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424185353   old_soc 99.999982   new_charge 75211905   new_soc 99.999997
interval 0.093708   current 14668.827097   old_charge 424186876   old_soc 99.999982   new_charge 75240776   new_soc 99.999997
interval 149.485385   current 24.990176   old_charge 424215740   old_soc 99.999982   new_charge 75318832   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424291305   old_soc 99.999982   new_charge 75320475   new_soc 99.999997
interval 0.021626   current 14668.827097   old_charge 424292827   old_soc 99.999982   new_charge 75327138   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424299489   old_soc 99.999982   new_charge 75328780   new_soc 99.999997
interval 0.034808   current 14668.827097   old_charge 424301011   old_soc 99.999982   new_charge 75339503   new_soc 99.999997
interval 48.985032   current 24.990176   old_charge 424311733   old_soc 99.999982   new_charge 75365081   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424336495   old_soc 99.999982   new_charge 75366724   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 424338017   old_soc 99.999982   new_charge 75370389   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424341679   old_soc 99.999982   new_charge 75372032   new_soc 99.999997
interval 0.117748   current 14668.827097   old_charge 424343201   old_soc 99.999982   new_charge 75408300   new_soc 99.999997
interval 199.859268   current 24.990176   old_charge 424379470   old_soc 99.999982   new_charge 75512657   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424480498   old_soc 99.999982   new_charge 75514300   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 424482020   old_soc 99.999982   new_charge 75517944   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424485614   old_soc 99.999982   new_charge 75519588   new_soc 99.999997
interval 0.117748   current 14668.827097   old_charge 424487136   old_soc 99.999982   new_charge 75555855   new_soc 99.999997
interval 199.836841   current 24.990176   old_charge 424523406   old_soc 99.999982   new_charge 75660199   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424624421   old_soc 99.999982   new_charge 75661843   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 424625943   old_soc 99.999982   new_charge 75665508   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424629605   old_soc 99.999982   new_charge 75667152   new_soc 99.999997
interval 0.120312   current 14668.827097   old_charge 424631127   old_soc 99.999982   new_charge 75704212   new_soc 99.999997
interval 201.188754   current 24.990176   old_charge 424668186   old_soc 99.999982   new_charge 75809261   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424769883   old_soc 99.999982   new_charge 75810905   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 424771405   old_soc 99.999982   new_charge 75814549   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424774999   old_soc 99.999982   new_charge 75816193   new_soc 99.999997
interval 0.118092   current 14668.827097   old_charge 424776522   old_soc 99.999982   new_charge 75852570   new_soc 99.999997
interval 198.568596   current 24.990176   old_charge 424812897   old_soc 99.999982   new_charge 75956249   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424913268   old_soc 99.999982   new_charge 75957893   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 424914790   old_soc 99.999982   new_charge 75961559   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 424918452   old_soc 99.999982   new_charge 75963203   new_soc 99.999997
interval 0.119212   current 14668.827097   old_charge 424919974   old_soc 99.999982   new_charge 75999931   new_soc 99.999997
interval 200.017417   current 24.990176   old_charge 424956695   old_soc 99.999982   new_charge 76104366   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425057797   old_soc 99.999982   new_charge 76106010   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 425059319   old_soc 99.999982   new_charge 76109655   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425062913   old_soc 99.999982   new_charge 76111299   new_soc 99.999997
interval 0.117748   current 14668.827097   old_charge 425064436   old_soc 99.999982   new_charge 76147567   new_soc 99.999997
interval 199.659723   current 24.990176   old_charge 425100705   old_soc 99.999982   new_charge 76251813   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425201625   old_soc 99.999982   new_charge 76253458   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 425203147   old_soc 99.999982   new_charge 76257123   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425206809   old_soc 99.999982   new_charge 76258768   new_soc 99.999997
interval 0.120262   current 14668.827097   old_charge 425208332   old_soc 99.999982   new_charge 76295813   new_soc 99.999997
interval 199.834427   current 24.990176   old_charge 425245375   old_soc 99.999982   new_charge 76400150   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425346382   old_soc 99.999982   new_charge 76401795   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 425347905   old_soc 99.999982   new_charge 76405440   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425351499   old_soc 99.999982   new_charge 76407085   new_soc 99.999997
interval 0.117698   current 14668.827097   old_charge 425353021   old_soc 99.999982   new_charge 76443343   new_soc 99.999997
interval 200.864678   current 24.990176   old_charge 425389275   old_soc 99.999982   new_charge 76548215   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425490802   old_soc 99.999982   new_charge 76549861   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 425492324   old_soc 99.999982   new_charge 76553526   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425495986   old_soc 99.999982   new_charge 76555171   new_soc 99.999997
interval 0.118042   current 14668.827097   old_charge 425497508   old_soc 99.999982   new_charge 76591534   new_soc 99.999997
interval 198.887771   current 24.990176   old_charge 425533868   old_soc 99.999982   new_charge 76695373   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425634394   old_soc 99.999982   new_charge 76697019   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 425635916   old_soc 99.999982   new_charge 76700664   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425639510   old_soc 99.999982   new_charge 76702310   new_soc 99.999997
interval 0.093658   current 14668.827097   old_charge 425641033   old_soc 99.999982   new_charge 76731155   new_soc 99.999997
interval 150.693671   current 24.990176   old_charge 425669882   old_soc 99.999982   new_charge 76809831   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425746048   old_soc 99.999982   new_charge 76811477   new_soc 99.999997
interval 0.043338   current 14668.827097   old_charge 425747570   old_soc 99.999982   new_charge 76824831   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425760919   old_soc 99.999982   new_charge 76826477   new_soc 99.999997
interval 0.034840   current 14668.827097   old_charge 425762441   old_soc 99.999982   new_charge 76837207   new_soc 99.999997
interval 49.088040   current 24.990176   old_charge 425773173   old_soc 99.999982   new_charge 76862835   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425797984   old_soc 99.999982   new_charge 76864481   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 425799506   old_soc 99.999982   new_charge 76868147   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425803168   old_soc 99.999982   new_charge 76869793   new_soc 99.999997
interval 0.117834   current 14668.827097   old_charge 425804690   old_soc 99.999982   new_charge 76906085   new_soc 99.999997
interval 199.728137   current 24.990176   old_charge 425840986   old_soc 99.999982   new_charge 77010360   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425941934   old_soc 99.999982   new_charge 77012006   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 425943456   old_soc 99.999982   new_charge 77015652   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 425947051   old_soc 99.999982   new_charge 77017298   new_soc 99.999997
interval 0.117698   current 14668.827097   old_charge 425948573   old_soc 99.999982   new_charge 77053556   new_soc 99.999997
interval 200.572509   current 24.990176   old_charge 425984827   old_soc 99.999982   new_charge 77158271   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426086200   old_soc 99.999982   new_charge 77159917   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 426087723   old_soc 99.999982   new_charge 77163583   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426091384   old_soc 99.999982   new_charge 77165229   new_soc 99.999997
interval 0.120262   current 14668.827097   old_charge 426092907   old_soc 99.999982   new_charge 77202275   new_soc 99.999997
interval 200.891045   current 24.990176   old_charge 426129951   old_soc 99.999982   new_charge 77307154   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426231484   old_soc 99.999982   new_charge 77308801   new_soc 99.999997
interval 0.017014   current 14668.827097   old_charge 426233006   old_soc 99.999982   new_charge 77314043   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426238247   old_soc 99.999982   new_charge 77315690   new_soc 99.999997
interval 0.112884   current 14668.827097   old_charge 426239769   old_soc 99.999982   new_charge 77350460   new_soc 99.999997
interval 198.279353   current 24.990176   old_charge 426274540   old_soc 99.999982   new_charge 77453975   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426374752   old_soc 99.999982   new_charge 77455622   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 426376275   old_soc 99.999982   new_charge 77459287   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426379936   old_soc 99.999982   new_charge 77460935   new_soc 99.999997
interval 0.119126   current 14668.827097   old_charge 426381459   old_soc 99.999982   new_charge 77497636   new_soc 99.999997
interval 201.086262   current 24.990176   old_charge 426418153   old_soc 99.999982   new_charge 77602614   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426519782   old_soc 99.999982   new_charge 77604262   new_soc 99.999997
interval 0.017014   current 14668.827097   old_charge 426521304   old_soc 99.999982   new_charge 77609503   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426526545   old_soc 99.999982   new_charge 77611151   new_soc 99.999997
interval 0.115154   current 14668.827097   old_charge 426528067   old_soc 99.999982   new_charge 77646629   new_soc 99.999997
interval 198.562444   current 24.990176   old_charge 426563538   old_soc 99.999982   new_charge 77750289   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426663890   old_soc 99.999982   new_charge 77751937   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 426665412   old_soc 99.999982   new_charge 77755602   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426669074   old_soc 99.999982   new_charge 77757250   new_soc 99.999997
interval 0.117698   current 14668.827097   old_charge 426670597   old_soc 99.999982   new_charge 77793508   new_soc 99.999997
interval 201.036902   current 24.990176   old_charge 426706851   old_soc 99.999982   new_charge 77898458   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426808452   old_soc 99.999982   new_charge 77900106   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 426809975   old_soc 99.999982   new_charge 77903753   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426813569   old_soc 99.999982   new_charge 77905401   new_soc 99.999997
interval 0.117862   current 14668.827097   old_charge 426815091   old_soc 99.999982   new_charge 77941712   new_soc 99.999997
interval 198.790295   current 24.990176   old_charge 426851396   old_soc 99.999982   new_charge 78045488   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426951861   old_soc 99.999982   new_charge 78047137   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 426953383   old_soc 99.999982   new_charge 78050802   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 426957045   old_soc 99.999982   new_charge 78052451   new_soc 99.999997
interval 0.120656   current 14668.827097   old_charge 426958567   old_soc 99.999982   new_charge 78089624   new_soc 99.999997
interval 199.841571   current 24.990176   old_charge 426995732   old_soc 99.999982   new_charge 78193947   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427096727   old_soc 99.999982   new_charge 78195596   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 427098250   old_soc 99.999982   new_charge 78199243   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427101844   old_soc 99.999982   new_charge 78200892   new_soc 99.999997
interval 0.091094   current 14668.827097   old_charge 427103366   old_soc 99.999982   new_charge 78228952   new_soc 99.999997
interval 149.879934   current 24.990176   old_charge 427131425   old_soc 99.999982   new_charge 78307193   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427207170   old_soc 99.999982   new_charge 78308842   new_soc 99.999997
interval 0.021626   current 14668.827097   old_charge 427208692   old_soc 99.999982   new_charge 78315505   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427215354   old_soc 99.999982   new_charge 78317154   new_soc 99.999997
interval 0.034808   current 14668.827097   old_charge 427216876   old_soc 99.999982   new_charge 78327876   new_soc 99.999997
interval 49.864638   current 24.990176   old_charge 427227598   old_soc 99.999982   new_charge 78353907   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427252798   old_soc 99.999982   new_charge 78355556   new_soc 99.999997
interval 0.017234   current 14668.827097   old_charge 427254320   old_soc 99.999982   new_charge 78360833   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427259629   old_soc 99.999982   new_charge 78362482   new_soc 99.999997
interval 0.113038   current 14668.827097   old_charge 427261151   old_soc 99.999982   new_charge 78397303   new_soc 99.999997
interval 220.066268   current 24.990176   old_charge 427295969   old_soc 99.999982   new_charge 78512182   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427407183   old_soc 99.999982   new_charge 78513831   new_soc 99.999997
interval 0.017014   current 14668.827097   old_charge 427408705   old_soc 99.999982   new_charge 78519073   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427413946   old_soc 99.999982   new_charge 78520722   new_soc 99.999997
interval 0.112590   current 14668.827097   old_charge 427415468   old_soc 99.999982   new_charge 78555404   new_soc 99.999997
interval 199.823961   current 24.990176   old_charge 427450149   old_soc 99.999982   new_charge 78659714   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427551131   old_soc 99.999982   new_charge 78661364   new_soc 99.999997
interval 0.019798   current 14668.827097   old_charge 427552653   old_soc 99.999982   new_charge 78667453   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427558751   old_soc 99.999982   new_charge 78669103   new_soc 99.999997
interval 0.112540   current 14668.827097   old_charge 427560274   old_soc 99.999982   new_charge 78703769   new_soc 99.999997
interval 199.791745   current 24.990176   old_charge 427594939   old_soc 99.999982   new_charge 78808061   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427695903   old_soc 99.999982   new_charge 78809711   new_soc 99.999997
interval 0.017014   current 14668.827097   old_charge 427697426   old_soc 99.999982   new_charge 78814953   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427702666   old_soc 99.999982   new_charge 78816603   new_soc 99.999997
interval 0.084592   current 14668.827097   old_charge 427704189   old_soc 99.999982   new_charge 78842661   new_soc 99.999997
interval 159.883831   current 24.990176   old_charge 427730245   old_soc 99.999982   new_charge 78926120   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427811042   old_soc 99.999982   new_charge 78927771   new_soc 99.999997
interval 0.009832   current 14668.827097   old_charge 427812564   old_soc 99.999982   new_charge 78930737   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427815592   old_soc 99.999982   new_charge 78932388   new_soc 99.999997
interval 0.034808   current 14668.827097   old_charge 427817115   old_soc 99.999982   new_charge 78943111   new_soc 99.999997
interval 50.309197   current 24.990176   old_charge 427827836   old_soc 99.999982   new_charge 78969372   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427853260   old_soc 99.999982   new_charge 78971022   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 427854782   old_soc 99.999982   new_charge 78974688   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427858444   old_soc 99.999982   new_charge 78976338   new_soc 99.999997
interval 0.119176   current 14668.827097   old_charge 427859966   old_soc 99.999982   new_charge 79013049   new_soc 99.999997
interval 200.720288   current 24.990176   old_charge 427896675   old_soc 99.999982   new_charge 79117823   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 427998106   old_soc 99.999982   new_charge 79119474   new_soc 99.999997
interval 0.017014   current 14668.827097   old_charge 427999629   old_soc 99.999982   new_charge 79124716   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428004870   old_soc 99.999982   new_charge 79126366   new_soc 99.999997
interval 0.115104   current 14668.827097   old_charge 428006392   old_soc 99.999982   new_charge 79161820   new_soc 99.999997
interval 209.599094   current 24.990176   old_charge 428041847   old_soc 99.999982   new_charge 79271227   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428147763   old_soc 99.999982   new_charge 79272878   new_soc 99.999997
interval 0.017234   current 14668.827097   old_charge 428149286   old_soc 99.999982   new_charge 79278154   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428154594   old_soc 99.999982   new_charge 79279805   new_soc 99.999997
interval 0.112640   current 14668.827097   old_charge 428156116   old_soc 99.999982   new_charge 79314497   new_soc 99.999997
interval 198.988813   current 24.990176   old_charge 428190812   old_soc 99.999982   new_charge 79418364   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428291366   old_soc 99.999982   new_charge 79420016   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 428292888   old_soc 99.999982   new_charge 79423663   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428296482   old_soc 99.999982   new_charge 79425315   new_soc 99.999997
interval 0.117748   current 14668.827097   old_charge 428298005   old_soc 99.999982   new_charge 79461582   new_soc 99.999997
interval 202.665504   current 24.990176   old_charge 428334274   old_soc 99.999982   new_charge 79567367   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428436684   old_soc 99.999982   new_charge 79569018   new_soc 99.999997
interval 0.017284   current 14668.827097   old_charge 428438206   old_soc 99.999982   new_charge 79574340   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428443530   old_soc 99.999982   new_charge 79575992   new_soc 99.999997
interval 0.115080   current 14668.827097   old_charge 428445053   old_soc 99.999982   new_charge 79611447   new_soc 99.999997
interval 197.763591   current 24.990176   old_charge 428480500   old_soc 99.999982   new_charge 79714672   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428580432   old_soc 99.999982   new_charge 79716324   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 428581954   old_soc 99.999982   new_charge 79719972   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428585548   old_soc 99.999982   new_charge 79721624   new_soc 99.999997
interval 0.091094   current 14668.827097   old_charge 428587071   old_soc 99.999982   new_charge 79749684   new_soc 99.999997
interval 150.056610   current 24.990176   old_charge 428615130   old_soc 99.999982   new_charge 79828007   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428690954   old_soc 99.999982   new_charge 79829659   new_soc 99.999997
interval 0.043338   current 14668.827097   old_charge 428692477   old_soc 99.999982   new_charge 79843013   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428705826   old_soc 99.999982   new_charge 79844665   new_soc 99.999997
interval 0.034808   current 14668.827097   old_charge 428707348   old_soc 99.999982   new_charge 79855388   new_soc 99.999997
interval 49.869364   current 24.990176   old_charge 428718070   old_soc 99.999982   new_charge 79881417   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428743269   old_soc 99.999982   new_charge 79883069   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 428744791   old_soc 99.999982   new_charge 79886735   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428748453   old_soc 99.999982   new_charge 79888387   new_soc 99.999997
interval 0.117834   current 14668.827097   old_charge 428749975   old_soc 99.999982   new_charge 79924679   new_soc 99.999997
interval 198.923740   current 24.990176   old_charge 428786271   old_soc 99.999982   new_charge 80028507   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428886787   old_soc 99.999982   new_charge 80030160   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 428888309   old_soc 99.999982   new_charge 80033808   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 428891903   old_soc 99.999982   new_charge 80035460   new_soc 99.999997
interval 0.120312   current 14668.827097   old_charge 428893425   old_soc 99.999982   new_charge 80072521   new_soc 99.999997
interval 199.870922   current 24.990176   old_charge 428930484   old_soc 99.999982   new_charge 80176842   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429031477   old_soc 99.999982   new_charge 80178495   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 429032999   old_soc 99.999982   new_charge 80182161   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429036661   old_soc 99.999982   new_charge 80183814   new_soc 99.999997
interval 0.117748   current 14668.827097   old_charge 429038183   old_soc 99.999982   new_charge 80220080   new_soc 99.999997
interval 199.896845   current 24.990176   old_charge 429074453   old_soc 99.999982   new_charge 80324413   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429175457   old_soc 99.999982   new_charge 80326067   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 429176980   old_soc 99.999982   new_charge 80329715   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429180574   old_soc 99.999982   new_charge 80331369   new_soc 99.999997
interval 0.083116   current 14668.827097   old_charge 429182096   old_soc 99.999982   new_charge 80356971   new_soc 99.999997
interval 134.519073   current 24.990176   old_charge 429207698   old_soc 99.999982   new_charge 80427180   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429275667   old_soc 99.999982   new_charge 80428834   new_soc 99.999997
interval 0.015094   current 14668.827097   old_charge 429277190   old_soc 99.999982   new_charge 80433484   new_soc 99.999997
interval 0.005076   current 14668.827097   old_charge 429281839   old_soc 99.999982   new_charge 80435021   new_soc 99.999997
interval 0.023582   current 14668.827097   old_charge 429283403   old_soc 99.999982   new_charge 80442279   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429290666   old_soc 99.999982   new_charge 80443933   new_soc 99.999997
interval 0.035146   current 14668.827097   old_charge 429292189   old_soc 99.999982   new_charge 80454763   new_soc 99.999997
interval 65.393112   current 24.990176   old_charge 429303015   old_soc 99.999982   new_charge 80488893   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429336056   old_soc 99.999982   new_charge 80490547   new_soc 99.999997
interval 0.017234   current 14668.827097   old_charge 429337578   old_soc 99.999982   new_charge 80495822   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429342887   old_soc 99.999982   new_charge 80497476   new_soc 99.999997
interval 0.020764   current 14668.827097   old_charge 429344409   old_soc 99.999982   new_charge 80503874   new_soc 99.999997
interval 35.497063   current 24.990176   old_charge 429350805   old_soc 99.999982   new_charge 80522401   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429368741   old_soc 99.999982   new_charge 80524055   new_soc 99.999997
interval 0.015094   current 14668.827097   old_charge 429370263   old_soc 99.999982   new_charge 80528705   new_soc 99.999997
interval 0.004976   current 14668.827097   old_charge 429374912   old_soc 99.999982   new_charge 80530339   new_soc 99.999997
interval 0.020630   current 14668.827097   old_charge 429376445   old_soc 99.999982   new_charge 80536693   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429382800   old_soc 99.999982   new_charge 80538347   new_soc 99.999997
interval 0.094398   current 14668.827097   old_charge 429384322   old_soc 99.999982   new_charge 80567425   new_soc 99.999997
interval 164.158268   current 24.990176   old_charge 429413399   old_soc 99.999982   new_charge 80653102   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429496343   old_soc 99.999982   new_charge 80654756   new_soc 99.999997
interval 0.011668   current 14668.827097   old_charge 429497865   old_soc 99.999982   new_charge 80658405   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429501459   old_soc 99.999982   new_charge 80660059   new_soc 99.999997
interval 0.025904   current 14668.827097   old_charge 429502981   old_soc 99.999982   new_charge 80668038   new_soc 99.999997
interval 31.134436   current 24.990176   old_charge 429510961   old_soc 99.999982   new_charge 80684287   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429526692   old_soc 99.999982   new_charge 80685942   new_soc 99.999997
interval 0.009698   current 14668.827097   old_charge 429528214   old_soc 99.999982   new_charge 80688938   new_soc 99.999997
interval 0.004976   current 14668.827097   old_charge 429531201   old_soc 99.999982   new_charge 80690572   new_soc 99.999997
interval 0.020630   current 14668.827097   old_charge 429532734   old_soc 99.999982   new_charge 80696926   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429539089   old_soc 99.999982   new_charge 80698580   new_soc 99.999997
interval 0.095212   current 14668.827097   old_charge 429540611   old_soc 99.999982   new_charge 80727910   new_soc 99.999997
interval 170.281237   current 24.990176   old_charge 429569939   old_soc 99.999982   new_charge 80816782   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429655975   old_soc 99.999982   new_charge 80818436   new_soc 99.999997
interval 0.011888   current 14668.827097   old_charge 429657497   old_soc 99.999982   new_charge 80822102   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429661159   old_soc 99.999982   new_charge 80823756   new_soc 99.999997
interval 0.020800   current 14668.827097   old_charge 429662681   old_soc 99.999982   new_charge 80830162   new_soc 99.999997
interval 20.353818   current 24.990176   old_charge 429669088   old_soc 99.999982   new_charge 80840785   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429679372   old_soc 99.999982   new_charge 80842439   new_soc 99.999997
interval 0.009698   current 14668.827097   old_charge 429680895   old_soc 99.999982   new_charge 80845436   new_soc 99.999997
interval 0.004976   current 14668.827097   old_charge 429683882   old_soc 99.999982   new_charge 80847070   new_soc 99.999997
interval 0.020680   current 14668.827097   old_charge 429685415   old_soc 99.999982   new_charge 80853437   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429691785   old_soc 99.999982   new_charge 80855091   new_soc 99.999997
interval 0.059452   current 14668.827097   old_charge 429693307   old_soc 99.999982   new_charge 80873401   new_soc 99.999997
interval 103.998536   current 24.990176   old_charge 429711620   old_soc 99.999982   new_charge 80927679   new_soc 99.999997
interval 0.004942   current 14668.827097   old_charge 429764165   old_soc 99.999982   new_charge 80929333   new_soc 99.999997
interval 0.015094   current 14668.827097   old_charge 429765688   old_soc 99.999982   new_charge 80933984   new_soc 99.999997
interval 0.004976   current 14668.827097   old_charge 429770337   old_soc 99.999982   new_charge 80935618   new_soc 99.999997
interval 0.020630   current 14668.827097   old_charge 429771870   old_soc 99.999982   new_charge 80941972   new_soc 99.999997
